keyword,intent,priority,page,suggested_title,note
"Everest Base Camp cost",commercial,high,"/treks/everest-base-camp","Everest Base Camp Cost: What to Budget","High commercial intent; target trek detail and pricing guides"
"Everest Base Camp itinerary",informational,high,"/treks/everest-base-camp","Everest Base Camp 14-Day Itinerary","Long-tail informational; good for itinerary block"
"Annapurna Circuit cost",commercial,high,"/treks/annapurna-circuit","Annapurna Circuit Cost & Prices","Target pricing and packages"
"Annapurna permits cost",informational,medium,"/treks/annapurna-circuit","Annapurna Permits: Fees & Requirements","Permit-specific query; link to permit reference"
"best time to trek Nepal",informational,high,"/","Best Time To Trek Nepal: Seasons & Tips","High seasonality intent; target home and sitewide guides"
"trekking in Nepal difficulty levels",informational,medium,"/treks","Trek Difficulty Explained","Use on Trek List filters and guide"
"Everest Base Camp packing list",informational,medium,"/blog/packing-list","Everest Packing List: Essentials","Blog/content piece; good internal link target"
"cost to trek Annapurna circuit",commercial,high,"/treks/annapurna-circuit","How Much Does the Annapurna Circuit Cost?","Commercial intent; compare packages"
"Nepal trekking permits TIMS",informational,medium,"/docs/permit-reference","TIMS & Nepal Trekking Permits Guide","Authoritative permit reference page"
"Kala Patthar sunrise best time",informational,low,"/treks/everest-base-camp","Kala Patthar Sunrise: Best Time To Hike","Long-tail for detail pages or FAQs"
"Annapurna Base Camp itinerary",informational,high,"/treks/annapurna-base-camp","Annapurna Base Camp Itinerary","Direct trek detail content"
"EBC altitude sickness tips",informational,medium,"/treks/everest-base-camp","Altitude Sickness Tips for Everest Base Camp","Safety/performance content"
"Nepal trek packing checklist",informational,medium,"/blog/packing-list","Nepal Trek Packing Checklist","Sitewide practical guide"
"Poon Hill trek difficulty",informational,medium,"/treks/poon-hill","Poon Hill Trek Difficulty & Guide","Trek detail support"
"Manaslu circuit permit cost",informational,medium,"/treks/manaslu-circuit","Manaslu Permits & Costs","Permit-focused query"
"best trekking routes in Nepal",informational,high,"/treks","Top Treks in Nepal: 25 Must-See Routes","Cluster page linking to detail pages"
"Nepal trekking packages 2026",commercial,high,"/treks","Nepal Trekking Packages 2026: Pricing Guide","Commercial season/offerings"
"how to get to Lukla flight",informational,medium,"/treks/everest-base-camp","Flying to Lukla: What To Expect","Logistics content for EBC"
"Annapurna circuit vs everest base camp",informational,high,"/compare","Annapurna Circuit vs Everest Base Camp: Compare","Compare page content"
"trek guide vs self guided Nepal",informational,medium,"/docs/guide-vs-self","Guide vs Self-Guided Treks: Pros & Cons","Decision-stage content"
"trekking in Nepal cost per day",commercial,high,"/","How Much Does Trekking in Nepal Cost per Day?","Pricing/per-day estimate article"
"Nepal permit types for trekking",informational,high,"/docs/permit-reference","Nepal Trekking Permit Types Explained","Authoritative resource"
"best time to trek Annapurna circuit",informational,high,"/treks/annapurna-circuit","Best Time To Trek Annapurna Circuit","Seasonality landing for trek detail"
"Gokyo lakes trek difficulty",informational,medium,"/treks/gokyo-lakes","Gokyo Lakes Trek: Difficulty & Guide","Trek detail support"
"how to prepare for high altitude trekking",informational,high,"/blog/preparation","Preparing For High Altitude Trekking","Evergreen content for blog and FAQs"
"Kathmandu to Pokhara travel options",informational,medium,"/blog/logistics","Travel from Kathmandu to Pokhara: Options","Logistics guide"
"upper mustang permit cost",informational,medium,"/treks/upper-mustang","Upper Mustang Permits & Fees","Permit-specific page"
"lodging on trek teahouse vs camping",informational,medium,"/docs/accommodation","Teahouse vs Camping: What To Expect","Support content for trek details"
"trekking insurance for nepal altitude",commercial,medium,"/docs/safety","Trekking Insurance For Nepal: Altitude Cover","Affiliate/commercial intent"
"Annapurna circuit packing list",informational,low,"/treks/annapurna-circuit","Annapurna Packing List","Trek detail support"
"nepal trek fitness training plan",informational,medium,"/blog/training","Training Plan For Trekking In Nepal","Preparation content"
"trek permits nepal TIMS cost",informational,medium,"/docs/permit-reference","TIMS Card: Cost & How To Get It","Permit reference"
"short treks near pokhara",informational,medium,"/treks","Short Treks Near Pokhara","Landing for quick treks (Poon Hill, etc.)"
"langtang gosaikunda trek difficulty",informational,low,"/treks/langtang-gosaikunda","Langtang & Gosaikunda: Difficulty","Trek detail"
"best guided trek operator nepal",commercial,high,"/","Best Trek Operators in Nepal","Commercial; consider review/content"
"when is monsoon in nepal trekking",informational,high,"/docs/seasonality","Nepal Monsoon & Trekking: When To Avoid","Seasonality resource"
"how to acclimatize for trekking",informational,high,"/docs/safety","How To Acclimatize For High Altitude Treks","Safety guide"
"trek difficulty rating explained",informational,medium,"/docs/difficulty","Understanding Trek Difficulty Ratings","Sitewide taxonomy content"
"everest base camp group departures",transactional,medium,"/treks/everest-base-camp","Everest Base Camp Group Departures & Dates","Product/availability intent"
"annapurna circuit alternative routes",informational,low,"/treks/annapurna-circuit","Annapurna Circuit Alternatives","Related content"
"trek comparison tool nepal",commercial,medium,"/compare","Compare Treks In Nepal: Cost & Difficulty","Feature page keyword"
"trek safety tips altitude sickness",informational,high,"/docs/safety","Trek Safety Tips: Altitude Sickness Prevention","High-priority safety content"
"nepal trek visa requirements",informational,high,"/docs/logistics","Nepal Visa Requirements For Trekkers","Essential logistics info"
"how much to tip guides nepal",informational,low,"/docs/etiquette","Tipping Guides In Nepal: What To Expect","Small but useful FAQ"
"trekking permits nepal list",informational,high,"/docs/permit-reference","Complete List Of Nepal Trekking Permits","Authority page for permits"
