id,slug,name,region,difficulty,duration,altitude,price_min,price_max,best_season,permit_required,images,description,overview
1,everest-base-camp,Everest Base Camp,Khumbu,Challenging,14,5364,1200,2500,"Spring (Mar-May);Autumn (Sep-Nov)",true,"everest-1;everest-2","Classic trek to the foot of Mount Everest.","A high-altitude trek through Sherpa country ending at Everest Base Camp."
2,gokyo-lakes,Gokyo Lakes & Gokyo Ri,Khumbu,Challenging,12,5357,1100,2200,"Spring (Mar-May);Autumn (Sep-Nov)",true,gokyo-1,"Scenic lakes and panoramic mountain views in the Khumbu.","Alternate route to Everest region with stunning turquoise lakes and high viewpoints."
3,three-passes-eco,Everest Three Passes (extended),Khumbu,Expert,18,5364,2000,4000,"Spring (Mar-May);Autumn (Sep-Nov)",true,three-passes-1,"Challenging circuit across three high passes in the Everest region.","A demanding route for experienced trekkers seeking remote high passes."
4,annapurna-circuit,Annapurna Circuit,Annapurna,Challenging,18,5416,1000,2200,"Spring (Mar-May);Autumn (Sep-Nov)",true,annapurna-1,"Classic long circuit around the Annapurna massif.","Varied terrain and cultural diversity with a high mountain pass."
5,annapurna-base-camp,Annapurna Base Camp,Annapurna,Moderate,8,4130,600,1200,"Spring (Mar-May);Autumn (Sep-Nov)",true,abc-1,"Popular trek to the base of Annapurna massif.","Accessible route with varied scenery and mountain views."
6,poon-hill,Poon Hill Trek,Annapurna,Easy,5,3210,300,700,"Spring (Mar-May);Autumn (Sep-Nov);Winter (Dec-Feb)",true,poon-hill-1,"Short popular trek ideal for quick mountain views.","Great for beginners and families, famous for sunrise viewpoints."
7,mardi-himal,Mardi Himal Trek,Annapurna,Moderate,6,4500,400,900,"Spring (Mar-May);Autumn (Sep-Nov)",true,mardi-1,"Less-crowded Annapurna trek with excellent mountain views.","Shorter alternative to ABC with high viewpoints."
8,manaslu-circuit,Manaslu Circuit,Manaslu,Challenging,14,5160,1200,2600,"Spring (Mar-May);Autumn (Sep-Nov)",true,manaslu-1,"Wild and remote circuit around Manaslu peak.","A quieter alternative to Annapurna with high passes and cultural richness."
9,kanchenjunga-base-camp,Kanchenjunga Base Camp,Taplejung,Expert,20,5143,2200,4500,"Spring (Mar-May);Autumn (Sep-Nov)",true,kanchenjunga-1,"Very remote trek to the base of the world's third highest mountain.","Long expedition-style trek across rugged terrain."
10,makalu-base-camp,Makalu Base Camp,Makalu,Expert,16,5200,1800,3800,"Spring (Mar-May);Autumn (Sep-Nov)",true,makalu-1,"Remote alpine trek with dramatic mountain views.","Less-travelled route to Makalu region requiring good fitness."
11,langtang-gosaikunda,Langtang & Gosaikunda,Langtang,Moderate,7,4380,500,1000,"Spring (Mar-May);Autumn (Sep-Nov)",true,langtang-gosaikunda-1,"Combines Langtang valley with holy alpine lakes at Gosaikunda.","Great option for moderate trekkers near Kathmandu."
12,helambu,Helambu Trek,Helambu,Easy,5,3600,200,500,"Spring (Mar-May);Autumn (Sep-Nov)",false,helambu-1,"Accessible trek north of Kathmandu through Tamang villages.","Good short trek for acclimatization and cultural visits."
13,rolwaling-valley,Rolwaling Valley Trek,Rolwaling,Challenging,12,5000,1200,2600,"Spring (Mar-May);Autumn (Sep-Nov)",true,rolwaling-1,"Remote valley with glaciers and alpine meadows.","Less-visited region offering solitude and big mountain scenery."
14,upper-mustang,Upper Mustang (Lo Manthang),Mustang,Moderate,10,3840,900,2000,"Spring (Mar-May);Autumn (Sep-Nov)",true,mustang-1,"Tibetan-influenced desert landscapes and Lo Manthang.","Unique cultural and geological landscape on Nepal's northern plateau."
15,upper-dolpo,Upper Dolpo (Shey Phoksundo),Dolpo,Expert,18,5360,2000,4500,"Spring (Mar-May);Autumn (Sep-Nov)",true,dolpo-1,"Very remote trek across high plateaus to turquoise lakes.","One of Nepal's most isolated and spectacular treks."
16,dhaulagiri-circuit,Dhaulagiri Circuit,Dhaulagiri,Expert,20,5600,1800,3600,"Spring (Mar-May);Autumn (Sep-Nov)",true,dhaulagiri-1,"Challenging long circuit around Dhaulagiri massif.","Epic, remote trekking with high passes and remote villages."
17,jomsom-tilicho,Jomsom - Tilicho Lake,Annapurna,Challenging,12,4920,800,1800,"Spring (Mar-May);Autumn (Sep-Nov)",true,tilicho-1,"Route to one of the world's highest lakes, Tilicho.","High-altitude lake with dramatic scenery and remoteness."
18,pikey-peak,Pikey Peak Trek,Solukhumbu,Moderate,5,4067,300,700,"Spring (Mar-May);Autumn (Sep-Nov)",false,pikey-1,"Short trek with excellent mountain panoramas.","Good acclimatization trek with cultural exposure."
19,ghandruk-loop,Ghandruk - Australian Camp Loop,Gandaki,Easy,4,2600,150,400,"Spring (Mar-May);Autumn (Sep-Nov)",false,ghandruk-1,"Popular short trekking loop around Ghandruk.","Ideal for families and short visits from Pokhara."
20,tamang-heritage,Tamang Heritage Trail,Rasuwa,Easy,6,3500,200,500,"Spring (Mar-May);Autumn (Sep-Nov)",false,tamang-1,"Cultural trek through Tamang villages near Kathmandu.","Accessible trail with cultural insights and mountain views."
21,chola-pass,Cho La Pass (Gokyo - Everest link),Khumbu,Expert,16,5420,1500,3200,"Spring (Mar-May);Autumn (Sep-Nov)",true,chola-1,"High glacier pass and remote crossing.","Requires experience and good weather windows."
22,shivapuri-nagarkot,Shivapuri - Nagarkot Ridge,Central Nepal,Easy,2,2760,50,150,"Spring (Mar-May);Autumn (Sep-Nov)",false,shivapuri-1,"Short ridge hike suitable as a day trip from Kathmandu.","Popular for sunrise and quick nature escapes."
23,bandipur-ghale,Bandipur - Ghalegaun Cultural Trail,Gandaki,Easy,3,1600,100,300,"All year",false,bandipur-1,"Short cultural trails with village homestays.","Good for cultural immersion and light trekking."
